-44;63
-5;60
-53;60
-43;67
66;68
63;37
21;33
-11;80
23;58
71;38
51;43
23;50
40;35
36;37
-39;77
-51;39
-26;50
-12;44
66;74
-2;80
-28;57
33;40
-6;73
-61;45
56;45
60;80
69;49
73;38
-5;69
30;78
36;49
-43;38
-14;39
25;62
-14;70
-79;41
22;77
67;72
67;39
-28;45
72;47
37;42
-8;69
48;34
23;70
58;45
70;39
21;61
-43;42
-61;35
-21;45
-16;83
-18;79
-9;70
29;47
-61;35
-44;39
64;51
-62;37
-57;60
45;57
4;79
0;38
13;46
15;70
72;67
-35;55
48;83
43;35
53;33
-11;40
43;38
-19;74
21;84
30;37
42;42
-6;68
4;68
-14;45
8;43
-20;67
3;47
-4;52
26;46
34;68
-5;54
2;61
41;54
32;45
-54;47
39;58
68;39
-4;52
-80;50
77;43
19;73
-29;56
-67;57
-71;46
-69;46
-36;45
12;77
46;37
40;64
23;76
32;36
10;8
50;32
-36;53
-38;61
55;58
-3;37
30;56
-26;78
-50;61
0;58
-57;70
-15;36
-42;71
51;38
55;67
0;48
-9;74
-54;58
-18;38
-23;46
-17;74
-23;64
-21;79
-14;59
-21;64
-8;47
-11;45
20;56
-28;49
-53;74
-81;35
73;39
80;71
40;45
-33;72
47;72
-84;52
-33;40
16;71
44;51
0;70
6;59
-49;39
24;74
-8;59
-1;70
-46;37
-35;93
1;69
-53;63
-50;44
-73;47
-12;65
-17;74
-40;56
-10;61
12;60
-11;75
-86;55
16;64
37;67
61;45
36;52
-31;63
0;62
-33;65
2;37
9;40
39;68
-14;31
-21;32
13;76
-13;64
-37;45
-56;46
15;66
-4;47
14;79
1;50
22;47
20;47
57;59
-61;45
47;61
17;71
44;35
58;65
-68;46
-57;42
77;64
-31;73
-43;54
7;75
48;45
38;41
-40;54
-2;43
-80;29
17;77
5;71
27;34
-23;47
15;73
4;40
-9;37
-32;75
-74;51
86;57
21;58
-22;64
42;55
-28;60
35;53
56;42
21;56
-8;39
-23;66
25;55
4;70
67;31
-25;60
-29;69
29;32
17;71
28;46
27;61
-56;63
-28;54
56;46
10;64
-36;44
32;60
46;53
21;52
15;54
-10;35
19;70
-14;41
-28;61
-46;58
-38;49
-19;70
17;67
-24;61
11;64
-5;46
-19;82
-23;62
27;53
-28;66
-68;34
49;49
48;52
-57;37
60;48
0;63
-25;36
32;53
-39;37
24;57
9;61
-17;70
-40;49
-27;39
-9;58
-8;70
15;58
-15;18
0;66
49;51
42;39
-60;40
-42;49
-5;47
63;40
67;45
-52;76
-16;41
30;40
49;44
-28;39
50;38
0;61
-6;64
1;37
6;48
39;55
-23;60
-29;36
61;43
14;61
9;44
-65;46
-5;41
-5;66
-61;43
-62;39
25;40
-47;37
-56;35
-50;72
-46;37
15;64
1;61
-2;66
34;47
-51;42
-18;39
-14;55
14;64
-14;60
-16;39
-52;37
